2023-11-20 18:34:17:471: [INFO] - This game id is D-00000001
2023-11-20 18:34:17:471: [INFO] - My id is P-00000002
2023-11-20 18:39:48:273: [INFO] - Receive join-room event. res_data: {"room_name":"test","player":"player2"}
2023-11-20 18:39:58:667: [INFO] - Receive join-room event. res_data: {"room_name":"test","player":"player3"}
2023-11-20 18:40:24:222: [INFO] - Receive receiver-card event. res_data: {"cards_receive":[{"color":"red","number":3},{"color":"green","special":"skip"},{"color":"yellow","number":0},{"color":"yellow","number":6},{"color":"blue","number":7},{"color":"yellow","number":2},{"color":"green","number":1}],"is_penalty":false}
2023-11-20 18:40:24:343: [INFO] - Receive draw-card event. res_data: {"player":"P-00000003","is_draw":true}
2023-11-20 18:40:24:408: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"green","special":"draw_2"},"yell_uno":false,"player":"P-00000001"}
2023-11-20 18:40:24:425: [INFO] - Receive next-player event. res_data: {"next_player":"P-00000002","before_player":"P-00000001","card_before":{"color":"green","special":"draw_2"},"card_of_player":[{"color":"yellow","number":0},{"color":"yellow","number":2},{"color":"yellow","number":6},{"color":"green","special":"skip"},{"color":"green","number":1},{"color":"blue","number":7},{"color":"red","number":3}],"must_call_draw_card":true,"draw_reason":"draw_2","turn_right":true,"number_card_play":2,"number_turn_play":2,"number_card_of_player":{"P-00000003":9,"P-00000001":6,"P-00000002":7,"P-00000004":7}}
2023-11-20 18:40:24:426: [INFO] - Send draw-card event. req_data: {}
2023-11-20 18:40:24:443: [INFO] - Receive receiver-card event. res_data: {"cards_receive":[{"color":"red","number":4},{"color":"black","special":"wild_draw_4"}],"is_penalty":false}
2023-11-20 18:40:24:454: [INFO] - Receive draw-card event. res_data: {"player":"P-00000002","is_draw":true}
2023-11-20 18:40:24:455: [INFO] - Client draw-card successfully! res_data: {"player":"P-00000002","is_draw":true,"can_play_draw_card":false,"draw_card":[{"color":"red","number":4},{"color":"black","special":"wild_draw_4"}]}
2023-11-20 18:40:24:508: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"green","number":6},"yell_uno":false,"player":"P-00000004"}
2023-11-20 18:40:24:564: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"green","number":8},"yell_uno":false,"player":"P-00000003"}
2023-11-20 18:40:24:616: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"green","number":5},"yell_uno":false,"player":"P-00000001"}
2023-11-20 18:40:24:631: [INFO] - Receive next-player event. res_data: {"next_player":"P-00000002","before_player":"P-00000001","card_before":{"color":"green","number":5},"card_of_player":[{"color":"yellow","number":0},{"color":"yellow","number":2},{"color":"yellow","number":6},{"color":"green","special":"skip"},{"color":"green","number":1},{"color":"blue","number":7},{"color":"red","number":3},{"color":"red","number":4},{"color":"black","special":"wild_draw_4"}],"must_call_draw_card":false,"draw_reason":"nothing","turn_right":true,"number_card_play":5,"number_turn_play":6,"number_card_of_player":{"P-00000003":8,"P-00000001":5,"P-00000002":9,"P-00000004":6}}
2023-11-20 18:40:24:631: [DEBUG] - selected card: {"color":"green","special":"skip"}
