2024-01-14 00:26:11:368: [INFO] - This game id is D-00000009
2024-01-14 00:26:11:369: [INFO] - My id is P-00000006
2024-01-14 00:26:14:029: [INFO] - Receive receiver-card event. res_data: {"cards_receive":[{"color":"blue","number":7},{"color":"green","number":2},{"color":"yellow","number":8},{"color":"blue","number":6},{"color":"red","number":6},{"color":"green","number":7},{"color":"green","number":3}],"is_penalty":false}
2024-01-14 00:26:14:239: [INFO] - Receive receiver-card event. res_data: {"cards_receive":[{"color":"red","number":1},{"color":"green","special":"reverse"},{"color":"yellow","number":2},{"color":"white","special":"white_wild"},{"color":"black","special":"wild"},{"color":"green","number":8},{"color":"green","number":2}],"is_penalty":false}
2024-01-14 00:26:14:295: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"red","number":2},"yell_uno":false,"player":"P-00000002"}
2024-01-14 00:26:14:331: [INFO] - Receive next-player event. res_data: {"next_player":"P-00000006","before_player":"P-00000002","card_before":{"color":"yellow","special":"draw_2"},"card_of_player":[{"color":"yellow","number":8},{"color":"green","number":2},{"color":"green","number":3},{"color":"green","number":7},{"color":"blue","number":6},{"color":"blue","number":7},{"color":"red","number":6}],"must_call_draw_card":true,"draw_reason":"nothing","turn_right":true,"number_card_play":2,"number_turn_play":1,"number_card_of_player":{"P-00000002":6,"P-00000006":7,"P-00000005":7,"P-00000001":7}}
2024-01-14 00:26:14:332: [INFO] - Send draw-card event. req_data: {}
2024-01-14 00:26:14:344: [INFO] - Receive penalty event. res_data: {"player":"P-00000002","number_card_of_player":9,"error":"Next player invalid."}
2024-01-14 00:26:14:369: [INFO] - Receive receiver-card event. res_data: {"cards_receive":[{"color":"yellow","number":7},{"color":"green","number":7}],"is_penalty":false}
2024-01-14 00:26:14:380: [INFO] - Receive draw-card event. res_data: {"player":"P-00000006","is_draw":true}
2024-01-14 00:26:14:381: [INFO] - Client draw-card successfully! res_data: {"player":"P-00000006","is_draw":true,"can_play_draw_card":false,"draw_card":[{"color":"yellow","number":7},{"color":"green","number":7}]}
2024-01-14 00:26:14:434: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"red","special":"draw_2"},"yell_uno":false,"player":"P-00000001"}
2024-01-14 00:26:14:479: [INFO] - Receive draw-card event. res_data: {"player":"P-00000005","is_draw":true}
2024-01-14 00:26:14:520: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"red","special":"reverse"},"yell_uno":false,"player":"P-00000002"}
2024-01-14 00:26:14:562: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"red","number":8},"yell_uno":false,"player":"P-00000005"}
2024-01-14 00:26:14:628: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"yellow","number":8},"yell_uno":false,"player":"P-00000001"}
2024-01-14 00:26:14:644: [INFO] - Receive next-player event. res_data: {"next_player":"P-00000006","before_player":"P-00000001","card_before":{"color":"yellow","number":8},"card_of_player":[{"color":"yellow","number":2},{"color":"yellow","number":7},{"color":"green","special":"reverse"},{"color":"green","number":2},{"color":"green","number":7},{"color":"green","number":8},{"color":"red","number":1},{"color":"black","special":"wild"},{"color":"white","special":"white_wild"}],"must_call_draw_card":false,"draw_reason":"nothing","turn_right":false,"number_card_play":5,"number_turn_play":7,"number_card_of_player":{"P-00000002":8,"P-00000006":9,"P-00000001":5,"P-00000005":8}}
2024-01-14 00:26:14:644: [DEBUG] - selected card: {"color":"yellow","number":2}
2024-01-14 00:26:14:645: [INFO] - Send play-card event. req_data: {"card_play":{"color":"yellow","number":2},"yell_uno":false}
2024-01-14 00:26:14:674: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"yellow","number":2},"yell_uno":false,"player":"P-00000006"}
2024-01-14 00:26:14:690: [INFO] - Client play-card successfully! res_data: {"card_play":{"color":"yellow","number":2},"yell_uno":false}
2024-01-14 00:26:14:720: [INFO] - Receive play-card event. res_data: {"card_play":{"color":"yellow","special":"reverse"},"yell_uno":false,"player":"P-00000002"}
